Number,Questions,Option a,Option b,Option c,Option d,Correct Answer,Explanation,Level of Difficulty,Source,SUBJECT
872,To whom should you delegate a task?,Someone who you trust,Someone who is competent,Someone who you work with regularly,All of the above,b,"While trust and a good working relationship are important, the absolute requirement for delegation, according to the NMC, is that the person you delegate to must be competent to perform the task safely and effectively.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
873,What is an important principle of delegation?,No transfer of authority exists,Delegation is the same as work allocation,Responsibility is not transferred with delegation,"When delegating, you must transfer authority",d,"For a task to be truly delegated, the nurse must give the other person the authority to perform the task. However, the nurse remains accountable for the decision to delegate and for the overall outcome.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
874,What is a specific benefit to an organisation of effective delegation?,Delegates gain new skills,The client feels more of their needs are met,Managers devote more time to tasks that cannot be delegated,The organization achieves its goals more efficiently,d,"Effective delegation allows work to be done by the most appropriate person at the right level. This improves efficiency, productivity, and time management, which helps the organisation to achieve its goals more effectively.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
875,Which task is appropriate to delegate to a nursing assistant?,Placing a client in seclusion,Emptying the Foley catheter for a pre-eclamptic client,Feeding a client with dementia who has a stable swallow,Ambulating a client with a newly fractured hip,c,Feeding a client with stable dementia is a task that falls within the competence of a nursing assistant. The other tasks involve unstable patients or require specialist skills and judgement that cannot be delegated.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
876,What is an advocate?,Someone who develops opportunities for the patient,Someone who has the same beliefs as the patient,Someone who acts on behalf of the patient to help them express their views,Someone who has the same values as the patient,c,Advocacy is about supporting people to have their voice heard and to defend and promote their rights and wishes.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
877,"In the role of patient advocate, what would a nurse do?",Emphasise the need for cost-containment,Override a patient's decision if they refuse recommended treatment,"Support a patient's decision, even if it is not the decision desired by the nurse",Foster patient dependence on health care providers,c,"A key part of advocacy is respecting the patient's autonomy and supporting their right to make their own decisions, even if the nurse or other professionals disagree with that decision.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
878,A patient with end-stage lung disease wants to go home on oxygen. The family wants a new surgical procedure. The nurse explains the risks and benefits to the family and discusses the patient's wishes with them. The nurse is acting as the patient's:,Educator,Advocate,Caregiver,Case manager,b,"In this situation, the nurse is primarily acting as an advocate by ensuring that the patient's own wishes are heard, understood, and respected by the family in the decision-making process.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
879,What is accountability in nursing?,Ethical and moral obligations,To be answerable to oneself and others for one's own actions,A systematic approach to improving quality of care,The process of applying knowledge to a clinical situation,b,"Accountability is a core professional principle. It means being responsible and answerable for your own judgements, actions, and omissions.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
880,"According to the nursing code of ethics, the nurse's first allegiance is to whom?",The client and the client's family,The client only,The healthcare organization,The physician,b,The NMC Code makes it clear that the nurse's primary professional duty and allegiance is to the people in their care.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
881,"In an emergency department, a doctor asks you to cannulate a patient, but you have not done it before. What should you do?","Don't do it as you are not competent, and inform the supervisor",Do it,Ask a colleague to do it,Complain to the supervisor,a,A nurse must never perform a procedure for which they have not been trained and are not competent. To do so would be unsafe and unprofessional. The correct action is to decline and escalate the issue to the nurse in charge.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
882,A nurse documented on the wrong chart. What should they do?,Inform the nurse in charge and tell her to cross it all off,Throw away the page,"Put a single line through the entry, write 'error' with your name, job title, date, and time",Ignore the incident,c,"The correct procedure for correcting an error in a paper record is to put a single line through it so it remains legible, and then to date, time, and sign the alteration, adding a note such as 'wrong entry'.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
883,"After finding a patient on the floor, which statement is most appropriate to document on an incident form?","""The patient climbed over the side rails and fell out of bed.""","""The use of restraints would have prevented the fall.""","""Upon entering the room, the patient was found lying on the floor.""","""The use of a sedative would have helped keep the patient in bed.""",c,"Documentation on an incident form (and in patient notes) should be factual, objective, and non-judgemental. The nurse should only document what they saw, not what they assume happened. Options a, b, and d are assumptions or opinions.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
884,In which situation can patient information NOT be disclosed?,When effectively anonymised,When required by law or a court order,For a specific purpose with the individual's written consent,When a family member is worried and asks for details,d,Information can only be shared with family members with the explicit consent of the patient. The other options are all legitimate grounds for disclosing information.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
885,What is the correct way to document an error in a patient's record?,Use correction fluid to erase the error,"Put a single straight line through the entry, write 'error', and sign, date, and time it",Tear out the page and rewrite it,Scribble over the error so it cannot be read,b,This ensures that the original entry remains legible (for legal reasons) and that the correction is clearly attributed and dated.,Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
886,A frail lady in A&E is worried about her cat at home. What is the best response?,"""You should worry about yourself and not the cat.""","""Your cat sounds very dear to you. Can I ask your neighbour to check?""","""I cannot see your cat now.""","""Your cat can look after itself.""",b,"This is an empathetic, person-centred response. It acknowledges the patient's concern, validates her feelings, and offers a practical, supportive solution to ease her anxiety.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
887,"An adult has just returned from surgery, fell, and was injured. The nurse did not put up the side rails. What kind of liability does the nurse have?",None,Negligence,Intentional tort,Assault & battery,b,"This is a classic example of negligence. The nurse had a duty of care, she breached that duty by failing to put up the side rails for a vulnerable post-operative patient, and this breach directly caused an injury.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
888,How long does the inflammatory phase of wound healing typically last?,24 hours,Just minutes,1-5 days,3-24 days,c,"The inflammatory phase is the second stage of wound healing, following haemostasis. It typically lasts for a few days and is characterised by redness, swelling, and warmth as the body sends inflammatory cells to the site.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
889,"A new surgical wound is hot, tender, and swollen. This wound is likely in which phase?",The inflammation phase of healing,The haemostasis phase of healing,The reconstructive phase of wound healing,An infected wound,a,"Heat, tenderness, and swelling are the classic clinical signs of the inflammatory phase of healing. While these are also signs of infection, they are a normal part of the initial healing process.",Easy,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
890,What are the four stages of wound healing in the correct order?,"Proliferative, inflammation, remodelling, maturation","Haemostasis, inflammation, proliferation, maturation","Inflammatory, dynamic, neutrophil, maturation","Haemostasis, proliferation, inflammation, remodelling",b,"The recognised four stages of wound healing are: Haemostasis (stopping the bleeding), Inflammation (cleaning the wound), Proliferation (new tissue growth), and Maturation (or remodelling, where the new tissue strengthens).",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
891,"A pressure ulcer shows loss of the dermis, with visible redness, but no slough. How is this categorised?",Moisture lesion,Stage 2 partial skin thickness,Stage 3,Stage 4,b,"A Stage 2 pressure ulcer is defined as partial-thickness loss of skin with exposed dermis. The wound bed is viable, pink or red, and may present as an intact or ruptured blister.",Medium,1000-QUESTIONS-WITH-ANSWERS-edited.pdf,
